Type_of_Event,Year_of_Birth,Residence_or_Place_of_Birth,ZIP_Code_of_Residence,Birthweight_Grams,Total_Births,Last_Data_Refresh
Birth,2022,Place of Residence,90009,1000 - 1499 grams,0,11/10/2023
Birth,2022,Place of Residence,90009,1500 - 1999 grams,0,11/10/2023
Birth,2022,Place of Residence,90009,2000 - 2499 grams,0,11/10/2023
Birth,2022,Place of Residence,90009,2500 - 2999 grams,0,11/10/2023
Birth,2022,Place of Residence,90009,3000 - 3499 grams,<11,11/10/2023
Birth,2022,Place of Residence,90009,3500 - 3999 grams,0,11/10/2023
Birth,2022,Place of Residence,90009,4000 - 5999 grams,0,11/10/2023
Birth,2022,Place of Residence,90009,Unreliable/Unknown,0,11/10/2023
Birth,2022,Place of Residence,90010,500 - 999 grams,0,11/10/2023
Birth,2022,Place of Residence,90010,1000 - 1499 grams,0,11/10/2023
Birth,2022,Place of Residence,90010,1500 - 1999 grams,0,11/10/2023
Birth,2022,Place of Residence,90010,2000 - 2499 grams,0,11/10/2023
Birth,2022,Place of Residence,90010,2500 - 2999 grams,<11,11/10/2023
Birth,2022,Place of Residence,90010,3000 - 3499 grams,12,11/10/2023
Birth,2022,Place of Residence,90010,3500 - 3999 grams,<11,11/10/2023
Birth,2022,Place of Residence,90010,4000 - 5999 grams,<11,11/10/2023
Birth,2022,Place of Residence,90010,Unreliable/Unknown,0,11/10/2023
Birth,2022,Place of Residence,90011,500 - 999 grams,<11,11/10/2023
Birth,2022,Place of Residence,90011,1000 - 1499 grams,<11,11/10/2023
Birth,2022,Place of Residence,90011,1500 - 1999 grams,28,11/10/2023
Birth,2022,Place of Residence,90011,2000 - 2499 grams,90,11/10/2023
Birth,2022,Place of Residence,90011,2500 - 2999 grams,272,11/10/2023
Birth,2022,Place of Residence,90011,3000 - 3499 grams,512,11/10/2023
Birth,2022,Place of Residence,90011,3500 - 3999 grams,310,11/10/2023
Birth,2022,Place of Residence,90011,4000 - 5999 grams,86,11/10/2023
Birth,2022,Place of Residence,90011,Unreliable/Unknown,<11,11/10/2023
Birth,2022,Place of Residence,90012,500 - 999 grams,<11,11/10/2023
Birth,2022,Place of Residence,90012,1000 - 1499 grams,0,11/10/2023
Birth,2022,Place of Residence,90012,1500 - 1999 grams,<11,11/10/2023
Birth,2022,Place of Residence,90012,2000 - 2499 grams,14,11/10/2023
Birth,2022,Place of Residence,90012,2500 - 2999 grams,41,11/10/2023
Birth,2022,Place of Residence,90012,3000 - 3499 grams,78,11/10/2023
Birth,2022,Place of Residence,90012,3500 - 3999 grams,49,11/10/2023
Birth,2022,Place of Residence,90012,4000 - 5999 grams,11,11/10/2023
Birth,2022,Place of Residence,90012,Unreliable/Unknown,0,11/10/2023
Birth,2022,Place of Residence,90013,500 - 999 grams,0,11/10/2023
Birth,2022,Place of Residence,90013,1000 - 1499 grams,<11,11/10/2023
Birth,2022,Place of Residence,90013,1500 - 1999 grams,<11,11/10/2023
Birth,2022,Place of Residence,90013,2000 - 2499 grams,<11,11/10/2023
Birth,2022,Place of Residence,90013,2500 - 2999 grams,16,11/10/2023
Birth,2022,Place of Residence,90013,3000 - 3499 grams,32,11/10/2023
Birth,2022,Place of Residence,90013,3500 - 3999 grams,14,11/10/2023
Birth,2022,Place of Residence,90013,4000 - 5999 grams,<11,11/10/2023
Birth,2022,Place of Residence,90013,Unreliable/Unknown,<11,11/10/2023
Birth,2022,Place of Residence,90014,500 - 999 grams,<11,11/10/2023
Birth,2022,Place of Residence,90014,1000 - 1499 grams,<11,11/10/2023
Birth,2022,Place of Residence,90014,1500 - 1999 grams,<11,11/10/2023
Birth,2022,Place of Residence,90014,2000 - 2499 grams,<11,11/10/2023
Birth,2022,Place of Residence,90014,2500 - 2999 grams,13,11/10/2023
Birth,2022,Place of Residence,90014,3000 - 3499 grams,26,11/10/2023
Birth,2022,Place of Residence,90014,3500 - 3999 grams,<11,11/10/2023
Birth,2022,Place of Residence,90014,4000 - 5999 grams,<11,11/10/2023
Birth,2022,Place of Residence,90014,Unreliable/Unknown,<11,11/10/2023
Birth,2022,Place of Residence,90015,500 - 999 grams,<11,11/10/2023
Birth,2022,Place of Residence,90015,1000 - 1499 grams,<11,11/10/2023
Birth,2022,Place of Residence,90015,1500 - 1999 grams,<11,11/10/2023
Birth,2022,Place of Residence,90015,2000 - 2499 grams,14,11/10/2023
Birth,2022,Place of Residence,90015,2500 - 2999 grams,44,11/10/2023
Birth,2022,Place of Residence,90015,3000 - 3499 grams,97,11/10/2023
Birth,2022,Place of Residence,90015,3500 - 3999 grams,49,11/10/2023
Birth,2022,Place of Residence,90015,4000 - 5999 grams,14,11/10/2023
Birth,2022,Place of Residence,90015,Unreliable/Unknown,0,11/10/2023
Birth,2022,Place of Residence,90016,500 - 999 grams,<11,11/10/2023
Birth,2022,Place of Residence,90016,1000 - 1499 grams,<11,11/10/2023
Birth,2022,Place of Residence,90016,1500 - 1999 grams,<11,11/10/2023
Birth,2022,Place of Residence,90016,2000 - 2499 grams,21,11/10/2023
Birth,2022,Place of Residence,90016,2500 - 2999 grams,78,11/10/2023
Birth,2022,Place of Residence,90016,3000 - 3499 grams,197,11/10/2023
Birth,2022,Place of Residence,90016,3500 - 3999 grams,102,11/10/2023
Birth,2022,Place of Residence,90016,4000 - 5999 grams,36,11/10/2023
Birth,2022,Place of Residence,90016,Unreliable/Unknown,<11,11/10/2023
Birth,2022,Place of Residence,90017,500 - 999 grams,0,11/10/2023
Birth,2022,Place of Residence,90017,1000 - 1499 grams,0,11/10/2023
Birth,2022,Place of Residence,90017,1500 - 1999 grams,<11,11/10/2023
Birth,2022,Place of Residence,90017,2000 - 2499 grams,24,11/10/2023
Birth,2022,Place of Residence,90017,2500 - 2999 grams,70,11/10/2023
Birth,2022,Place of Residence,90017,3000 - 3499 grams,109,11/10/2023
Birth,2022,Place of Residence,90017,3500 - 3999 grams,55,11/10/2023
Birth,2022,Place of Residence,90017,4000 - 5999 grams,<11,11/10/2023
Birth,2022,Place of Residence,90017,Unreliable/Unknown,0,11/10/2023
Birth,2022,Place of Residence,90018,500 - 999 grams,<11,11/10/2023
Birth,2022,Place of Residence,90018,1000 - 1499 grams,<11,11/10/2023
Birth,2022,Place of Residence,90018,1500 - 1999 grams,<11,11/10/2023
Birth,2022,Place of Residence,90018,2000 - 2499 grams,24,11/10/2023
Birth,2022,Place of Residence,90018,2500 - 2999 grams,113,11/10/2023
Birth,2022,Place of Residence,90018,3000 - 3499 grams,169,11/10/2023
Birth,2022,Place of Residence,90018,3500 - 3999 grams,111,11/10/2023
Birth,2022,Place of Residence,90018,4000 - 5999 grams,38,11/10/2023
Birth,2022,Place of Residence,90018,Unreliable/Unknown,0,11/10/2023
