Type_of_Event,Year_of_Birth,Residence_or_Place_of_Birth,ZIP_Code_of_Residence,Birthweight_Grams,Total_Births,Last_Data_Refresh
Birth,2022,Place of Residence,92376,2500 - 2999 grams,241,11/10/2023
Birth,2022,Place of Residence,92376,3000 - 3499 grams,455,11/10/2023
Birth,2022,Place of Residence,92376,3500 - 3999 grams,281,11/10/2023
Birth,2022,Place of Residence,92376,4000 - 5999 grams,86,11/10/2023
Birth,2022,Place of Residence,92376,Unreliable/Unknown,<11,11/10/2023
Birth,2022,Place of Residence,92377,500 - 999 grams,<11,11/10/2023
Birth,2022,Place of Residence,92377,1000 - 1499 grams,<11,11/10/2023
Birth,2022,Place of Residence,92377,1500 - 1999 grams,<11,11/10/2023
Birth,2022,Place of Residence,92377,2000 - 2499 grams,13,11/10/2023
Birth,2022,Place of Residence,92377,2500 - 2999 grams,42,11/10/2023
Birth,2022,Place of Residence,92377,3000 - 3499 grams,89,11/10/2023
Birth,2022,Place of Residence,92377,3500 - 3999 grams,48,11/10/2023
Birth,2022,Place of Residence,92377,4000 - 5999 grams,13,11/10/2023
Birth,2022,Place of Residence,92377,Unreliable/Unknown,0,11/10/2023
Birth,2022,Place of Residence,92378,500 - 999 grams,0,11/10/2023
Birth,2022,Place of Residence,92378,1000 - 1499 grams,0,11/10/2023
Birth,2022,Place of Residence,92378,1500 - 1999 grams,0,11/10/2023
Birth,2022,Place of Residence,92378,2000 - 2499 grams,0,11/10/2023
Birth,2022,Place of Residence,92378,2500 - 2999 grams,<11,11/10/2023
Birth,2022,Place of Residence,92378,3000 - 3499 grams,<11,11/10/2023
Birth,2022,Place of Residence,92378,3500 - 3999 grams,0,11/10/2023
Birth,2022,Place of Residence,92378,4000 - 5999 grams,0,11/10/2023
Birth,2022,Place of Residence,92378,Unreliable/Unknown,0,11/10/2023
Birth,2022,Place of Residence,92382,500 - 999 grams,0,11/10/2023
Birth,2022,Place of Residence,92382,1000 - 1499 grams,0,11/10/2023
Birth,2022,Place of Residence,92382,1500 - 1999 grams,0,11/10/2023
Birth,2022,Place of Residence,92382,2000 - 2499 grams,<11,11/10/2023
Birth,2022,Place of Residence,92382,2500 - 2999 grams,<11,11/10/2023
Birth,2022,Place of Residence,92382,3000 - 3499 grams,15,11/10/2023
Birth,2022,Place of Residence,92382,3500 - 3999 grams,20,11/10/2023
Birth,2022,Place of Residence,92382,4000 - 5999 grams,<11,11/10/2023
Birth,2022,Place of Residence,92382,Unreliable/Unknown,0,11/10/2023
Birth,2022,Place of Residence,92384,500 - 999 grams,0,11/10/2023
Birth,2022,Place of Residence,92384,1000 - 1499 grams,0,11/10/2023
Birth,2022,Place of Residence,92384,1500 - 1999 grams,0,11/10/2023
Birth,2022,Place of Residence,92384,2000 - 2499 grams,0,11/10/2023
Birth,2022,Place of Residence,92384,2500 - 2999 grams,0,11/10/2023
Birth,2022,Place of Residence,92384,3000 - 3499 grams,<11,11/10/2023
Birth,2022,Place of Residence,92384,3500 - 3999 grams,0,11/10/2023
Birth,2022,Place of Residence,92384,4000 - 5999 grams,0,11/10/2023
Birth,2022,Place of Residence,92384,Unreliable/Unknown,0,11/10/2023
Birth,2022,Place of Residence,92385,500 - 999 grams,0,11/10/2023
Birth,2022,Place of Residence,92385,1000 - 1499 grams,0,11/10/2023
Birth,2022,Place of Residence,92385,1500 - 1999 grams,0,11/10/2023
Birth,2022,Place of Residence,92385,2000 - 2499 grams,0,11/10/2023
Birth,2022,Place of Residence,92385,2500 - 2999 grams,<11,11/10/2023
Birth,2022,Place of Residence,92385,3000 - 3499 grams,<11,11/10/2023
Birth,2022,Place of Residence,92385,3500 - 3999 grams,0,11/10/2023
Birth,2022,Place of Residence,92385,4000 - 5999 grams,0,11/10/2023
Birth,2022,Place of Residence,92385,Unreliable/Unknown,0,11/10/2023
Birth,2022,Place of Residence,92386,500 - 999 grams,0,11/10/2023
Birth,2022,Place of Residence,92386,1000 - 1499 grams,<11,11/10/2023
Birth,2022,Place of Residence,92386,1500 - 1999 grams,0,11/10/2023
Birth,2022,Place of Residence,92386,2000 - 2499 grams,<11,11/10/2023
Birth,2022,Place of Residence,92386,2500 - 2999 grams,<11,11/10/2023
Birth,2022,Place of Residence,92386,3000 - 3499 grams,11,11/10/2023
Birth,2022,Place of Residence,92386,3500 - 3999 grams,<11,11/10/2023
Birth,2022,Place of Residence,92386,4000 - 5999 grams,<11,11/10/2023
Birth,2022,Place of Residence,92386,Unreliable/Unknown,0,11/10/2023
Birth,2022,Place of Residence,92389,500 - 999 grams,0,11/10/2023
Birth,2022,Place of Residence,92389,1000 - 1499 grams,0,11/10/2023
Birth,2022,Place of Residence,92389,1500 - 1999 grams,0,11/10/2023
Birth,2022,Place of Residence,92389,2000 - 2499 grams,0,11/10/2023
Birth,2022,Place of Residence,92389,2500 - 2999 grams,0,11/10/2023
Birth,2022,Place of Residence,92389,3000 - 3499 grams,0,11/10/2023
Birth,2022,Place of Residence,92389,3500 - 3999 grams,0,11/10/2023
Birth,2022,Place of Residence,92389,4000 - 5999 grams,0,11/10/2023
Birth,2022,Place of Residence,92389,Unreliable/Unknown,0,11/10/2023
Birth,2022,Place of Residence,92391,500 - 999 grams,<11,11/10/2023
Birth,2022,Place of Residence,92391,1000 - 1499 grams,0,11/10/2023
Birth,2022,Place of Residence,92391,1500 - 1999 grams,0,11/10/2023
Birth,2022,Place of Residence,92391,2000 - 2499 grams,0,11/10/2023
Birth,2022,Place of Residence,92391,2500 - 2999 grams,<11,11/10/2023
Birth,2022,Place of Residence,92391,3000 - 3499 grams,14,11/10/2023
Birth,2022,Place of Residence,92391,3500 - 3999 grams,<11,11/10/2023
Birth,2022,Place of Residence,92391,4000 - 5999 grams,<11,11/10/2023
Birth,2022,Place of Residence,92391,Unreliable/Unknown,0,11/10/2023
Birth,2022,Place of Residence,92392,500 - 999 grams,<11,11/10/2023
Birth,2022,Place of Residence,92392,1000 - 1499 grams,<11,11/10/2023
Birth,2022,Place of Residence,92392,1500 - 1999 grams,15,11/10/2023
Birth,2022,Place of Residence,92392,2000 - 2499 grams,56,11/10/2023
Birth,2022,Place of Residence,92392,2500 - 2999 grams,205,11/10/2023
Birth,2022,Place of Residence,92392,3000 - 3499 grams,350,11/10/2023
Birth,2022,Place of Residence,92392,3500 - 3999 grams,183,11/10/2023
Birth,2022,Place of Residence,92392,4000 - 5999 grams,47,11/10/2023
Birth,2022,Place of Residence,92392,Unreliable/Unknown,<11,11/10/2023
Birth,2022,Place of Residence,92393,500 - 999 grams,0,11/10/2023
Birth,2022,Place of Residence,92393,1000 - 1499 grams,0,11/10/2023
Birth,2022,Place of Residence,92393,1500 - 1999 grams,0,11/10/2023
Birth,2022,Place of Residence,92393,2000 - 2499 grams,<11,11/10/2023
Birth,2022,Place of Residence,92393,2500 - 2999 grams,0,11/10/2023
Birth,2022,Place of Residence,92393,3000 - 3499 grams,<11,11/10/2023
Birth,2022,Place of Residence,92393,3500 - 3999 grams,<11,11/10/2023
Birth,2022,Place of Residence,92393,4000 - 5999 grams,0,11/10/2023
Birth,2022,Place of Residence,92393,Unreliable/Unknown,0,11/10/2023
Birth,2022,Place of Residence,92394,500 - 999 grams,<11,11/10/2023
Birth,2022,Place of Residence,92394,1000 - 1499 grams,<11,11/10/2023
Birth,2022,Place of Residence,92394,1500 - 1999 grams,<11,11/10/2023
Birth,2022,Place of Residence,92394,2000 - 2499 grams,34,11/10/2023
Birth,2022,Place of Residence,92394,2500 - 2999 grams,123,11/10/2023
Birth,2022,Place of Residence,92394,3000 - 3499 grams,195,11/10/2023
Birth,2022,Place of Residence,92394,3500 - 3999 grams,131,11/10/2023
Birth,2022,Place of Residence,92394,4000 - 5999 grams,19,11/10/2023
Birth,2022,Place of Residence,92394,Unreliable/Unknown,<11,11/10/2023
Birth,2022,Place of Residence,92395,500 - 999 grams,<11,11/10/2023
Birth,2022,Place of Residence,92395,1000 - 1499 grams,12,11/10/2023
Birth,2022,Place of Residence,92395,1500 - 1999 grams,<11,11/10/2023
Birth,2022,Place of Residence,92395,2000 - 2499 grams,31,11/10/2023
Birth,2022,Place of Residence,92395,2500 - 2999 grams,125,11/10/2023
Birth,2022,Place of Residence,92395,3000 - 3499 grams,266,11/10/2023
Birth,2022,Place of Residence,92395,3500 - 3999 grams,147,11/10/2023
Birth,2022,Place of Residence,92395,4000 - 5999 grams,30,11/10/2023
Birth,2022,Place of Residence,92395,Unreliable/Unknown,<11,11/10/2023
Birth,2022,Place of Residence,92397,500 - 999 grams,0,11/10/2023
Birth,2022,Place of Residence,92397,1000 - 1499 grams,<11,11/10/2023
Birth,2022,Place of Residence,92397,1500 - 1999 grams,<11,11/10/2023
Birth,2022,Place of Residence,92397,2000 - 2499 grams,<11,11/10/2023
Birth,2022,Place of Residence,92397,2500 - 2999 grams,15,11/10/2023
Birth,2022,Place of Residence,92397,3000 - 3499 grams,17,11/10/2023
Birth,2022,Place of Residence,92397,3500 - 3999 grams,12,11/10/2023
Birth,2022,Place of Residence,92397,4000 - 5999 grams,<11,11/10/2023
Birth,2022,Place of Residence,92397,Unreliable/Unknown,0,11/10/2023
Birth,2022,Place of Residence,92398,500 - 999 grams,0,11/10/2023
Birth,2022,Place of Residence,92398,1000 - 1499 grams,0,11/10/2023
Birth,2022,Place of Residence,92398,1500 - 1999 grams,0,11/10/2023
Birth,2022,Place of Residence,92398,2000 - 2499 grams,<11,11/10/2023
Birth,2022,Place of Residence,92398,2500 - 2999 grams,<11,11/10/2023
Birth,2022,Place of Residence,92398,3000 - 3499 grams,<11,11/10/2023
Birth,2022,Place of Residence,92398,3500 - 3999 grams,<11,11/10/2023
Birth,2022,Place of Residence,92398,4000 - 5999 grams,0,11/10/2023
Birth,2022,Place of Residence,92398,Unreliable/Unknown,0,11/10/2023
Birth,2022,Place of Residence,92399,500 - 999 grams,<11,11/10/2023
Birth,2022,Place of Residence,92399,1000 - 1499 grams,<11,11/10/2023
Birth,2022,Place of Residence,92399,1500 - 1999 grams,11,11/10/2023
Birth,2022,Place of Residence,92399,2000 - 2499 grams,28,11/10/2023
Birth,2022,Place of Residence,92399,2500 - 2999 grams,125,11/10/2023
Birth,2022,Place of Residence,92399,3000 - 3499 grams,233,11/10/2023
Birth,2022,Place of Residence,92399,3500 - 3999 grams,177,11/10/2023
Birth,2022,Place of Residence,92399,4000 - 5999 grams,33,11/10/2023
Birth,2022,Place of Residence,92399,Unreliable/Unknown,<11,11/10/2023
Birth,2022,Place of Residence,92401,500 - 999 grams,0,11/10/2023
Birth,2022,Place of Residence,92401,1000 - 1499 grams,0,11/10/2023
Birth,2022,Place of Residence,92401,1500 - 1999 grams,<11,11/10/2023
Birth,2022,Place of Residence,92401,2000 - 2499 grams,<11,11/10/2023
Birth,2022,Place of Residence,92401,2500 - 2999 grams,11,11/10/2023
Birth,2022,Place of Residence,92401,3000 - 3499 grams,20,11/10/2023
Birth,2022,Place of Residence,92401,3500 - 3999 grams,<11,11/10/2023
Birth,2022,Place of Residence,92401,4000 - 5999 grams,<11,11/10/2023
Birth,2022,Place of Residence,92401,Unreliable/Unknown,0,11/10/2023
Birth,2022,Place of Residence,92402,500 - 999 grams,0,11/10/2023
Birth,2022,Place of Residence,92402,1000 - 1499 grams,0,11/10/2023
Birth,2022,Place of Residence,92402,1500 - 1999 grams,0,11/10/2023
Birth,2022,Place of Residence,92402,2000 - 2499 grams,0,11/10/2023
Birth,2022,Place of Residence,92402,2500 - 2999 grams,0,11/10/2023
Birth,2022,Place of Residence,92402,3000 - 3499 grams,<11,11/10/2023
Birth,2022,Place of Residence,92402,3500 - 3999 grams,<11,11/10/2023
Birth,2022,Place of Residence,92402,4000 - 5999 grams,0,11/10/2023
Birth,2022,Place of Residence,92402,Unreliable/Unknown,0,11/10/2023
Birth,2022,Place of Residence,92403,500 - 999 grams,0,11/10/2023
Birth,2022,Place of Residence,92403,1000 - 1499 grams,0,11/10/2023
Birth,2022,Place of Residence,92403,1500 - 1999 grams,0,11/10/2023
Birth,2022,Place of Residence,92403,2000 - 2499 grams,0,11/10/2023
Birth,2022,Place of Residence,92403,2500 - 2999 grams,0,11/10/2023
Birth,2022,Place of Residence,92403,3000 - 3499 grams,0,11/10/2023
Birth,2022,Place of Residence,92403,3500 - 3999 grams,0,11/10/2023
Birth,2022,Place of Residence,92403,4000 - 5999 grams,0,11/10/2023
Birth,2022,Place of Residence,92403,Unreliable/Unknown,0,11/10/2023
Birth,2022,Place of Residence,92404,500 - 999 grams,<11,11/10/2023
Birth,2022,Place of Residence,92404,1000 - 1499 grams,<11,11/10/2023
Birth,2022,Place of Residence,92404,1500 - 1999 grams,17,11/10/2023
Birth,2022,Place of Residence,92404,2000 - 2499 grams,44,11/10/2023
Birth,2022,Place of Residence,92404,2500 - 2999 grams,182,11/10/2023
Birth,2022,Place of Residence,92404,3000 - 3499 grams,350,11/10/2023
Birth,2022,Place of Residence,92404,3500 - 3999 grams,201,11/10/2023
Birth,2022,Place of Residence,92404,4000 - 5999 grams,55,11/10/2023
Birth,2022,Place of Residence,92404,Unreliable/Unknown,<11,11/10/2023
Birth,2022,Place of Residence,92405,500 - 999 grams,<11,11/10/2023
Birth,2022,Place of Residence,92405,1000 - 1499 grams,<11,11/10/2023
Birth,2022,Place of Residence,92405,1500 - 1999 grams,<11,11/10/2023
Birth,2022,Place of Residence,92405,2000 - 2499 grams,26,11/10/2023
Birth,2022,Place of Residence,92405,2500 - 2999 grams,82,11/10/2023
Birth,2022,Place of Residence,92405,3000 - 3499 grams,164,11/10/2023
Birth,2022,Place of Residence,92405,3500 - 3999 grams,116,11/10/2023
Birth,2022,Place of Residence,92405,4000 - 5999 grams,21,11/10/2023
Birth,2022,Place of Residence,92405,Unreliable/Unknown,0,11/10/2023
Birth,2022,Place of Residence,92406,500 - 999 grams,0,11/10/2023
Birth,2022,Place of Residence,92406,1000 - 1499 grams,0,11/10/2023
Birth,2022,Place of Residence,92406,1500 - 1999 grams,0,11/10/2023
Birth,2022,Place of Residence,92406,2000 - 2499 grams,0,11/10/2023
Birth,2022,Place of Residence,92406,2500 - 2999 grams,0,11/10/2023
Birth,2022,Place of Residence,92406,3000 - 3499 grams,0,11/10/2023
Birth,2022,Place of Residence,92406,3500 - 3999 grams,0,11/10/2023
Birth,2022,Place of Residence,92406,4000 - 5999 grams,0,11/10/2023
Birth,2022,Place of Residence,92406,Unreliable/Unknown,0,11/10/2023
Birth,2022,Place of Residence,92407,500 - 999 grams,<11,11/10/2023
Birth,2022,Place of Residence,92407,1000 - 1499 grams,<11,11/10/2023
Birth,2022,Place of Residence,92407,1500 - 1999 grams,18,11/10/2023
Birth,2022,Place of Residence,92407,2000 - 2499 grams,41,11/10/2023
Birth,2022,Place of Residence,92407,2500 - 2999 grams,201,11/10/2023
Birth,2022,Place of Residence,92407,3000 - 3499 grams,406,11/10/2023
Birth,2022,Place of Residence,92407,3500 - 3999 grams,211,11/10/2023
Birth,2022,Place of Residence,92407,4000 - 5999 grams,58,11/10/2023
Birth,2022,Place of Residence,92407,Unreliable/Unknown,<11,11/10/2023
Birth,2022,Place of Residence,92408,500 - 999 grams,<11,11/10/2023
Birth,2022,Place of Residence,92408,1000 - 1499 grams,<11,11/10/2023
Birth,2022,Place of Residence,92408,1500 - 1999 grams,<11,11/10/2023
Birth,2022,Place of Residence,92408,2000 - 2499 grams,<11,11/10/2023
Birth,2022,Place of Residence,92408,2500 - 2999 grams,30,11/10/2023
Birth,2022,Place of Residence,92408,3000 - 3499 grams,83,11/10/2023
Birth,2022,Place of Residence,92408,3500 - 3999 grams,33,11/10/2023
Birth,2022,Place of Residence,92408,4000 - 5999 grams,13,11/10/2023
Birth,2022,Place of Residence,92408,Unreliable/Unknown,0,11/10/2023
Birth,2022,Place of Residence,92410,500 - 999 grams,<11,11/10/2023
Birth,2022,Place of Residence,92410,1000 - 1499 grams,<11,11/10/2023
Birth,2022,Place of Residence,92410,1500 - 1999 grams,<11,11/10/2023
Birth,2022,Place of Residence,92410,2000 - 2499 grams,35,11/10/2023
Birth,2022,Place of Residence,92410,2500 - 2999 grams,166,11/10/2023
Birth,2022,Place of Residence,92410,3000 - 3499 grams,263,11/10/2023
Birth,2022,Place of Residence,92410,3500 - 3999 grams,173,11/10/2023
Birth,2022,Place of Residence,92410,4000 - 5999 grams,51,11/10/2023
Birth,2022,Place of Residence,92410,Unreliable/Unknown,<11,11/10/2023
Birth,2022,Place of Residence,92411,500 - 999 grams,<11,11/10/2023
Birth,2022,Place of Residence,92411,1000 - 1499 grams,<11,11/10/2023
Birth,2022,Place of Residence,92411,1500 - 1999 grams,<11,11/10/2023
Birth,2022,Place of Residence,92411,2000 - 2499 grams,24,11/10/2023
Birth,2022,Place of Residence,92411,2500 - 2999 grams,80,11/10/2023
Birth,2022,Place of Residence,92411,3000 - 3499 grams,148,11/10/2023
Birth,2022,Place of Residence,92411,3500 - 3999 grams,91,11/10/2023
Birth,2022,Place of Residence,92411,4000 - 5999 grams,22,11/10/2023
Birth,2022,Place of Residence,92411,Unreliable/Unknown,0,11/10/2023
Birth,2022,Place of Residence,92412,500 - 999 grams,0,11/10/2023
Birth,2022,Place of Residence,92412,1000 - 1499 grams,0,11/10/2023
Birth,2022,Place of Residence,92412,1500 - 1999 grams,0,11/10/2023
Birth,2022,Place of Residence,92412,2000 - 2499 grams,0,11/10/2023
Birth,2022,Place of Residence,92412,2500 - 2999 grams,0,11/10/2023
Birth,2022,Place of Residence,92412,3000 - 3499 grams,0,11/10/2023
Birth,2022,Place of Residence,92412,3500 - 3999 grams,0,11/10/2023
Birth,2022,Place of Residence,92412,4000 - 5999 grams,0,11/10/2023
Birth,2022,Place of Residence,92412,Unreliable/Unknown,0,11/10/2023
Birth,2022,Place of Residence,92413,500 - 999 grams,0,11/10/2023
Birth,2022,Place of Residence,92413,1000 - 1499 grams,0,11/10/2023
Birth,2022,Place of Residence,92413,1500 - 1999 grams,0,11/10/2023
Birth,2022,Place of Residence,92413,2000 - 2499 grams,0,11/10/2023
Birth,2022,Place of Residence,92413,2500 - 2999 grams,0,11/10/2023
Birth,2022,Place of Residence,92413,3000 - 3499 grams,0,11/10/2023
Birth,2022,Place of Residence,92413,3500 - 3999 grams,0,11/10/2023
Birth,2022,Place of Residence,92413,4000 - 5999 grams,0,11/10/2023
Birth,2022,Place of Residence,92413,Unreliable/Unknown,0,11/10/2023
Birth,2022,Place of Residence,92414,500 - 999 grams,0,11/10/2023
Birth,2022,Place of Residence,92414,1000 - 1499 grams,0,11/10/2023
Birth,2022,Place of Residence,92414,1500 - 1999 grams,0,11/10/2023
Birth,2022,Place of Residence,92414,2000 - 2499 grams,0,11/10/2023
Birth,2022,Place of Residence,92414,2500 - 2999 grams,0,11/10/2023
Birth,2022,Place of Residence,92414,3000 - 3499 grams,0,11/10/2023
Birth,2022,Place of Residence,92414,3500 - 3999 grams,0,11/10/2023
Birth,2022,Place of Residence,92414,4000 - 5999 grams,0,11/10/2023
Birth,2022,Place of Residence,92414,Unreliable/Unknown,0,11/10/2023
Birth,2022,Place of Residence,92415,500 - 999 grams,<11,11/10/2023
Birth,2022,Place of Residence,92415,1000 - 1499 grams,0,11/10/2023
Birth,2022,Place of Residence,92415,1500 - 1999 grams,0,11/10/2023
Birth,2022,Place of Residence,92415,2000 - 2499 grams,<11,11/10/2023
Birth,2022,Place of Residence,92415,2500 - 2999 grams,<11,11/10/2023
Birth,2022,Place of Residence,92415,3000 - 3499 grams,<11,11/10/2023
Birth,2022,Place of Residence,92415,3500 - 3999 grams,<11,11/10/2023
Birth,2022,Place of Residence,92415,4000 - 5999 grams,<11,11/10/2023
Birth,2022,Place of Residence,92415,Unreliable/Unknown,0,11/10/2023
Birth,2022,Place of Residence,92418,500 - 999 grams,0,11/10/2023
Birth,2022,Place of Residence,92418,1000 - 1499 grams,0,11/10/2023
Birth,2022,Place of Residence,92418,1500 - 1999 grams,0,11/10/2023
Birth,2022,Place of Residence,92418,2000 - 2499 grams,0,11/10/2023
Birth,2022,Place of Residence,92418,2500 - 2999 grams,0,11/10/2023
Birth,2022,Place of Residence,92418,3000 - 3499 grams,0,11/10/2023
Birth,2022,Place of Residence,92418,3500 - 3999 grams,0,11/10/2023
Birth,2022,Place of Residence,92418,4000 - 5999 grams,0,11/10/2023
Birth,2022,Place of Residence,92418,Unreliable/Unknown,0,11/10/2023
Birth,2022,Place of Residence,92423,500 - 999 grams,0,11/10/2023
Birth,2022,Place of Residence,92423,1000 - 1499 grams,0,11/10/2023
Birth,2022,Place of Residence,92423,1500 - 1999 grams,0,11/10/2023
Birth,2022,Place of Residence,92423,2000 - 2499 grams,0,11/10/2023
Birth,2022,Place of Residence,92423,2500 - 2999 grams,0,11/10/2023
Birth,2022,Place of Residence,92423,3000 - 3499 grams,0,11/10/2023
Birth,2022,Place of Residence,92423,3500 - 3999 grams,0,11/10/2023
Birth,2022,Place of Residence,92423,4000 - 5999 grams,0,11/10/2023
Birth,2022,Place of Residence,92423,Unreliable/Unknown,0,11/10/2023
Birth,2022,Place of Residence,92424,500 - 999 grams,0,11/10/2023
Birth,2022,Place of Residence,92424,1000 - 1499 grams,0,11/10/2023
Birth,2022,Place of Residence,92424,1500 - 1999 grams,0,11/10/2023
Birth,2022,Place of Residence,92424,2000 - 2499 grams,0,11/10/2023
Birth,2022,Place of Residence,92424,2500 - 2999 grams,0,11/10/2023
Birth,2022,Place of Residence,92424,3000 - 3499 grams,0,11/10/2023
Birth,2022,Place of Residence,92424,3500 - 3999 grams,0,11/10/2023
Birth,2022,Place of Residence,92424,4000 - 5999 grams,0,11/10/2023
Birth,2022,Place of Residence,92424,Unreliable/Unknown,0,11/10/2023
Birth,2022,Place of Residence,92427,500 - 999 grams,0,11/10/2023
Birth,2022,Place of Residence,92427,1000 - 1499 grams,0,11/10/2023
Birth,2022,Place of Residence,92427,1500 - 1999 grams,0,11/10/2023
Birth,2022,Place of Residence,92427,2000 - 2499 grams,0,11/10/2023
Birth,2022,Place of Residence,92427,2500 - 2999 grams,0,11/10/2023
Birth,2022,Place of Residence,92427,3000 - 3499 grams,0,11/10/2023
Birth,2022,Place of Residence,92427,3500 - 3999 grams,0,11/10/2023
Birth,2022,Place of Residence,92427,4000 - 5999 grams,0,11/10/2023
Birth,2022,Place of Residence,92427,Unreliable/Unknown,0,11/10/2023
Birth,2022,Place of Residence,92501,500 - 999 grams,<11,11/10/2023
Birth,2022,Place of Residence,92501,1000 - 1499 grams,<11,11/10/2023
Birth,2022,Place of Residence,92501,1500 - 1999 grams,<11,11/10/2023
Birth,2022,Place of Residence,92501,2000 - 2499 grams,<11,11/10/2023
Birth,2022,Place of Residence,92501,2500 - 2999 grams,60,11/10/2023
Birth,2022,Place of Residence,92501,3000 - 3499 grams,131,11/10/2023
Birth,2022,Place of Residence,92501,3500 - 3999 grams,86,11/10/2023
Birth,2022,Place of Residence,92501,4000 - 5999 grams,15,11/10/2023
Birth,2022,Place of Residence,92501,Unreliable/Unknown,0,11/10/2023
Birth,2022,Place of Residence,92502,500 - 999 grams,0,11/10/2023
Birth,2022,Place of Residence,92502,1000 - 1499 grams,0,11/10/2023
Birth,2022,Place of Residence,92502,1500 - 1999 grams,0,11/10/2023
Birth,2022,Place of Residence,92502,2000 - 2499 grams,0,11/10/2023
Birth,2022,Place of Residence,92502,2500 - 2999 grams,0,11/10/2023
Birth,2022,Place of Residence,92502,3000 - 3499 grams,0,11/10/2023
Birth,2022,Place of Residence,92502,3500 - 3999 grams,0,11/10/2023
Birth,2022,Place of Residence,92502,4000 - 5999 grams,0,11/10/2023
Birth,2022,Place of Residence,92502,Unreliable/Unknown,0,11/10/2023
Birth,2022,Place of Residence,92503,500 - 999 grams,<11,11/10/2023
Birth,2022,Place of Residence,92503,1000 - 1499 grams,<11,11/10/2023
Birth,2022,Place of Residence,92503,1500 - 1999 grams,12,11/10/2023
Birth,2022,Place of Residence,92503,2000 - 2499 grams,35,11/10/2023
Birth,2022,Place of Residence,92503,2500 - 2999 grams,192,11/10/2023
Birth,2022,Place of Residence,92503,3000 - 3499 grams,462,11/10/2023
Birth,2022,Place of Residence,92503,3500 - 3999 grams,285,11/10/2023
Birth,2022,Place of Residence,92503,4000 - 5999 grams,78,11/10/2023
Birth,2022,Place of Residence,92503,Unreliable/Unknown,0,11/10/2023
Birth,2022,Place of Residence,92504,500 - 999 grams,<11,11/10/2023
Birth,2022,Place of Residence,92504,1000 - 1499 grams,<11,11/10/2023
Birth,2022,Place of Residence,92504,1500 - 1999 grams,<11,11/10/2023
Birth,2022,Place of Residence,92504,2000 - 2499 grams,35,11/10/2023
Birth,2022,Place of Residence,92504,2500 - 2999 grams,94,11/10/2023
Birth,2022,Place of Residence,92504,3000 - 3499 grams,271,11/10/2023
Birth,2022,Place of Residence,92504,3500 - 3999 grams,189,11/10/2023
Birth,2022,Place of Residence,92504,4000 - 5999 grams,59,11/10/2023
Birth,2022,Place of Residence,92504,Unreliable/Unknown,<11,11/10/2023
Birth,2022,Place of Residence,92505,500 - 999 grams,<11,11/10/2023
Birth,2022,Place of Residence,92505,1000 - 1499 grams,<11,11/10/2023
Birth,2022,Place of Residence,92505,1500 - 1999 grams,<11,11/10/2023
Birth,2022,Place of Residence,92505,2000 - 2499 grams,36,11/10/2023
Birth,2022,Place of Residence,92505,2500 - 2999 grams,132,11/10/2023
Birth,2022,Place of Residence,92505,3000 - 3499 grams,255,11/10/2023
Birth,2022,Place of Residence,92505,3500 - 3999 grams,150,11/10/2023
Birth,2022,Place of Residence,92505,4000 - 5999 grams,46,11/10/2023
Birth,2022,Place of Residence,92505,Unreliable/Unknown,0,11/10/2023
Birth,2022,Place of Residence,92506,500 - 999 grams,<11,11/10/2023
Birth,2022,Place of Residence,92506,1000 - 1499 grams,<11,11/10/2023
Birth,2022,Place of Residence,92506,1500 - 1999 grams,<11,11/10/2023
Birth,2022,Place of Residence,92506,2000 - 2499 grams,24,11/10/2023
Birth,2022,Place of Residence,92506,2500 - 2999 grams,74,11/10/2023
Birth,2022,Place of Residence,92506,3000 - 3499 grams,161,11/10/2023
Birth,2022,Place of Residence,92506,3500 - 3999 grams,133,11/10/2023
Birth,2022,Place of Residence,92506,4000 - 5999 grams,42,11/10/2023
Birth,2022,Place of Residence,92506,Unreliable/Unknown,0,11/10/2023
Birth,2022,Place of Residence,92507,500 - 999 grams,<11,11/10/2023
Birth,2022,Place of Residence,92507,1000 - 1499 grams,<11,11/10/2023
Birth,2022,Place of Residence,92507,1500 - 1999 grams,14,11/10/2023
Birth,2022,Place of Residence,92507,2000 - 2499 grams,39,11/10/2023
Birth,2022,Place of Residence,92507,2500 - 2999 grams,170,11/10/2023
Birth,2022,Place of Residence,92507,3000 - 3499 grams,312,11/10/2023
Birth,2022,Place of Residence,92507,3500 - 3999 grams,204,11/10/2023
Birth,2022,Place of Residence,92507,4000 - 5999 grams,64,11/10/2023
Birth,2022,Place of Residence,92507,Unreliable/Unknown,<11,11/10/2023
Birth,2022,Place of Residence,92508,500 - 999 grams,0,11/10/2023
Birth,2022,Place of Residence,92508,1000 - 1499 grams,<11,11/10/2023
Birth,2022,Place of Residence,92508,1500 - 1999 grams,<11,11/10/2023
Birth,2022,Place of Residence,92508,2000 - 2499 grams,20,11/10/2023
Birth,2022,Place of Residence,92508,2500 - 2999 grams,69,11/10/2023
Birth,2022,Place of Residence,92508,3000 - 3499 grams,147,11/10/2023
Birth,2022,Place of Residence,92508,3500 - 3999 grams,103,11/10/2023
Birth,2022,Place of Residence,92508,4000 - 5999 grams,25,11/10/2023
Birth,2022,Place of Residence,92508,Unreliable/Unknown,0,11/10/2023
Birth,2022,Place of Residence,92509,500 - 999 grams,<11,11/10/2023
